feature,to_select,label,core_votes,supportive_votes,peripheral_votes
age,yes,core,3,0,0
milk,yes,core,3,0,0
milk_t-1,yes,core,2,1,0
milk_t-2,yes,core,3,0,0
months_since_calving,yes,core,3,0,0
scs,yes,core,3,0,0
scs_t-1,yes,core,3,0,0
scs_t-2,yes,core,3,0,0
month_sin,yes,support,0,3,0
ec,no,peripheral,0,0,3
ec_t-1,no,peripheral,0,0,3
ec_t-2,no,peripheral,1,0,2
fat,no,peripheral,0,1,2
fat_t-1,no,peripheral,0,1,2
fat_t-2,no,peripheral,0,1,2
lactose,no,peripheral,0,0,3
lactose_t-1,no,peripheral,0,1,2
lactose_t-2,no,peripheral,0,0,3
month_cos,no,peripheral,0,0,3
protein,no,peripheral,0,0,3
protein_t-1,no,peripheral,0,0,3
protein_t-2,no,peripheral,0,0,3
