iteration,train_loss_mean,train_loss_std,train_loss_count,valid_loss_mean,valid_loss_std,valid_loss_count
1,0.6760352264216671,0.00285888806549049,25,0.6762182795867053,0.0028717988842724847,25
2,0.6619919580395387,0.0029453718244926153,25,0.6622526343561378,0.0028247062077149804,25
3,0.6502357563736322,0.0027049038715674283,25,0.6505756542420869,0.003210728214430854,25
4,0.639295311842994,0.0035284358855065035,25,0.639767133711117,0.004310242970550651,25
5,0.6303378883454145,0.0031614259388904006,25,0.6307898829292311,0.004273911466045852,25
6,0.6230114394651676,0.0029013284277658964,25,0.6235980882494738,0.0037483735961752872,25
7,0.6160661260783392,0.0027514964452629376,25,0.6166320148393161,0.0036901632345525946,25
8,0.6106504379087458,0.002367037493212626,25,0.6113145262292441,0.0036034725750067596,25
9,0.6068553734310183,0.0021366647498750717,25,0.6075774330617668,0.003850781918686743,25
10,0.6026923957624253,0.002230973795527593,25,0.6035364486119191,0.00420164116010021,25
11,0.5989184538239359,0.0022756505088198354,25,0.5998237661711574,0.004528662303281487,25
12,0.5958709148764807,0.0021031314299180958,25,0.5967948192209898,0.0045385787042806535,25
13,0.5927645379063047,0.0019212530201542614,25,0.5937234725740023,0.004534841866347945,25
14,0.5902211057096894,0.0019694241921122927,25,0.5912305684056208,0.004740797595941887,25
15,0.5881754737679098,0.0019695123234010335,25,0.5892381482427793,0.004364174882532998,25
16,0.5861410525042077,0.0024840747164473487,25,0.5873161745961173,0.004133578032369547,25
17,0.5845547347351931,0.0023631189034665004,25,0.5857889427278457,0.004171116833256358,25
18,0.5831185707158251,0.0019821707811721137,25,0.5843802958108172,0.0042656222537798905,25
19,0.5815112769292614,0.0018704637631079748,25,0.5828505401028194,0.004359114954627294,25
20,0.5800954235156225,0.0017773540654442937,25,0.5814756378540069,0.0045551412486246395,25
21,0.5788034451096852,0.0015729185876481877,25,0.5802284071390773,0.004761187507299239,25
22,0.5776070646745348,0.0015218651139575642,25,0.5790943487406068,0.004942964920394691,25
23,0.576598939276214,0.001284270336210299,25,0.5781620569766165,0.004966710467868374,25
24,0.5757530906666394,0.0013521670198658464,25,0.5773568919403046,0.005113396969081266,25
25,0.5749101554680375,0.0015263963476187586,25,0.5766086497561003,0.00511459185244287,25
26,0.5740942205309763,0.001462937304915978,25,0.5758490861941242,0.005061397141964881,25
27,0.57318475568302,0.0013766141173779404,25,0.5749937926104289,0.004994151515873667,25
28,0.5725124503355024,0.0013821304825421766,25,0.57439786807831,0.004972021986070704,25
29,0.5717800937065988,0.0014265389327737072,25,0.5737499888919295,0.00494931792009856,25
30,0.5710757870870411,0.0013587426286002108,25,0.5731123792439135,0.004935835421549989,25
31,0.5704105733488405,0.001309938090275697,25,0.5725136445027573,0.0050389718278238465,25
32,0.5697182124440874,0.0013528972232858768,25,0.5718718684788525,0.005073265208760662,25
33,0.5691392193583554,0.001266287893706035,25,0.5713808157681816,0.005134459834032542,25
34,0.5684827888461951,0.0013334304741100882,25,0.5707883890817907,0.0051052618214798735,25
35,0.56796001992784,0.001281823431771022,25,0.5703099185566953,0.005171139248450067,25
36,0.5673848109643146,0.0014414828570872863,25,0.5698055081046316,0.004979478359485583,25
37,0.5668728339089703,0.0014548673044189869,25,0.5693798473158698,0.005010997952099797,25
38,0.5663484150474928,0.0014659848331054005,25,0.5689365458712472,0.005017333093719343,25
39,0.5658395996954712,0.0015436706104876552,25,0.568512399479791,0.0049515936527795385,25
40,0.5654244644909777,0.0015468973036687973,25,0.5681821830097584,0.0048735539285919335,25
