repeat,fold,global_fold,n_train,n_valid,fit_seconds,predict_seconds,explain_seconds,fold_total_seconds,fold_rss_avg_mb,fold_rss_peak_mb,fold_rss_min_mb,fold_rss_last_mb,n_loss_iterations,train_loss_last,valid_loss_last,train_loss_min,valid_loss_min,train_loss_at_best_valid,best_loss_iteration,accuracy,precision,recall,specificity,f1,mcc,pr_auc,roc_auc,tp,tn,fp,fn
1,1,1,16270,4068,1.9250643253326416,0.004120349884033203,5.8942437171936035,7.823428392410278,464.7901642628205,510.04296875,381.96875,510.04296875,388,0.5107254949316483,0.5453056127639118,0.5107254949316483,0.5447847180724796,0.5132196329859187,362,0.6890363815142576,0.7841832963784183,0.5216322517207473,0.856440511307768,0.626513138470623,0.40122919322886,0.8024736505749013,0.7580659274148714,1061,1742,292,973
1,2,2,16270,4068,1.4050495624542236,0.0032083988189697266,3.125187397003174,4.533445358276367,492.71527777777777,511.078125,478.98046875,507.86328125,388,0.5098959691295906,0.5484267136359812,0.5098959691295906,0.5484267136359812,0.5098959691295906,388,0.6875614552605703,0.7853403141361257,0.5162241887905604,0.8588987217305801,0.6229605458320973,0.399298780902862,0.8005868274634677,0.7601564939779886,1050,1747,287,984
1,3,3,16271,4067,2.7272753715515137,0.0021479129791259766,2.8971455097198486,5.626568794250488,483.61070478723406,516.81640625,469.17578125,516.81640625,388,0.5112425901060296,0.5402978270761012,0.5112425901060296,0.5401202226824616,0.5126846863556623,375,0.7022375215146299,0.7920511000709723,0.5486725663716814,0.8558780127889818,0.6482718559395876,0.42509305138816816,0.8081301529790583,0.763286065078612,1116,1740,293,918
1,4,4,16270,4068,1.4687552452087402,0.0029904842376708984,3.8314743041992188,5.30322003364563,484.84854068396226,506.2265625,468.66015625,506.2265625,388,0.5092839442408736,0.5508817506253513,0.5092839442408736,0.5492806506902077,0.5239384508198877,259,0.693952802359882,0.783608914450036,0.5358898721730581,0.852015732546706,0.6364963503649635,0.40887377184256796,0.8009077153186932,0.7560976670930465,1090,1733,301,944
1,5,5,16271,4067,1.8757848739624023,0.002924203872680664,4.55898118019104,6.437690258026123,485.09881591796875,506.40625,466.86328125,505.37890625,388,0.512270011709755,0.5374009377831337,0.512270011709755,0.5372662609855815,0.5128348064689292,383,0.7054339808212442,0.7992831541218638,0.5484505656665027,0.8623402163225172,0.6505250875145857,0.43267272867168666,0.8135321054134476,0.769257593850919,1115,1754,280,918
2,1,6,16270,4068,2.2652738094329834,0.003228902816772461,3.652434825897217,5.920937538146973,495.62360963983053,521.3046875,482.1328125,521.3046875,388,0.5119767790201184,0.5382155541187311,0.5119767790201184,0.538048296352913,0.5144096771338709,366,0.701819075712881,0.7905166312809625,0.5491642084562438,0.8544739429695182,0.6480997969248622,0.4238769624646121,0.8138647963075685,0.7683623726057225,1117,1738,296,917
2,2,7,16270,4068,2.014747381210327,0.003000497817993164,3.754718542098999,5.772466421127319,482.0346848060345,515.296875,466.3515625,515.296875,388,0.5101846143410993,0.5461195255980916,0.5101846143410993,0.5460774459864598,0.5103049578956834,387,0.6910029498525073,0.7821350762527233,0.5294985250737463,0.8525073746312685,0.6314863676341249,0.4036427903833289,0.8028809013685118,0.7633519258157052,1077,1734,300,957
2,3,8,16271,4067,2.296556234359741,0.004578828811645508,3.200613498687744,5.501748561859131,482.74951171875,515.125,466.18359375,515.125,388,0.5119007367249911,0.5444765928687982,0.5119007367249911,0.5443410826145532,0.5143545262639637,365,0.6877305138923039,0.7705382436260623,0.5349065880039331,0.8406296114117069,0.6314567614625652,0.39440858473020163,0.8034958867869546,0.7618278251524382,1088,1709,324,946
2,4,9,16270,4068,1.341613531112671,0.0031287670135498047,3.530941963195801,4.8756842613220215,485.8065210459184,508.80078125,469.03515625,506.47265625,388,0.5105270399919813,0.5462561406470905,0.5105270399919813,0.546190554003844,0.5140393787061941,353,0.6998525073746312,0.7995578481945468,0.5334316617502458,0.8662733529990168,0.6399292244175759,0.4238731067315192,0.8063280752267794,0.762437046125406,1085,1762,272,949
2,5,10,16271,4067,1.511364221572876,0.002981424331665039,3.4627180099487305,4.9770636558532715,482.8225,514.03515625,467.015625,514.03515625,388,0.5101680335972306,0.5431277226823863,0.5101680335972306,0.5431277226823863,0.5101680335972306,388,0.6946151954757807,0.7843278217109992,0.5366453516969996,0.8525073746312685,0.6372663551401869,0.41016407713064745,0.8042937502957689,0.7572291700220695,1091,1734,300,942
