feature,mean_abs_shap,std_abs_shap,mean_shap,std_shap,spearman_feature_vs_shap
scs,0.6555645471951457,0.7983732627656549,0.0013973304684558234,1.0330611332226312,0.972925894235489
scs_t-1,0.41819389968451276,0.5794638088482014,0.0018760151728353528,0.7146230151482428,0.9304225947188726
scs_t-2,0.3991476033177735,0.5912273062309885,-0.0025433578378302748,0.7133632380426232,0.9531287236097208
months_since_calving,0.14284468819282936,0.10239860121857292,-0.0026695298288254257,0.1757397844611404,0.44766258801389397
age,0.11337606091687677,0.07534015426057579,-0.001113130342460594,0.13612473247269596,-0.9550976982002818
milk_t-2,0.07835386106224347,0.07876655724549313,0.0030205739129276214,0.11106296049376542,0.9033913543146046
ec_t-2,0.07594754358398113,0.03763904539221045,0.0009338138260556735,0.08475971109551265,0.3642419366015097
milk_t-1,0.07091462160803678,0.048802405176536466,0.0013801054382107832,0.08607565392698839,0.9668327326692183
ec,0.0630685181629605,0.05332845940790578,-0.0037091325319729717,0.08251145323671445,0.007798984835724976
milk,0.06200898878728365,0.056140397389515116,-0.0018361485145514881,0.08362913140084896,-0.7301106645816204
month_sin,0.05613621930309744,0.0509365836399379,0.003575075742663592,0.07571863461118915,0.6303567475833731
month_cos,0.047313620295301645,0.04953404482135549,-0.0036630891685614318,0.06840330608417948,0.3549471261479936
ec_t-1,0.042429811278603,0.033703709871367386,0.0025972347127112424,0.0541260332600661,-0.06691053790102705
protein_t-1,0.03620095236824098,0.03131906984151098,-0.00019703414973393528,0.04786927013854657,-0.9141757926462389
protein,0.028912350170075426,0.037659204966629285,0.00037761443630916254,0.0474774476779191,-0.6045152772167516
lactose,0.028688884384207428,0.027542215437515994,3.548017620611838e-05,0.03977062096061783,0.9235827973166285
protein_t-2,0.024006501700048387,0.020222042931860907,0.00023193598674492672,0.03138849839116968,-0.7947344736054412
lactose_t-1,0.02216931331862021,0.02368599402339528,-0.00017086039263615945,0.03244267814362064,0.758792478504743
lactose_t-2,0.01921573855133785,0.029207964379039053,0.0006556181107263665,0.03495683176476931,-0.8559962112562232
fat_t-2,0.01863353217377044,0.03354732850085647,-0.0012140749054036575,0.038356618579774154,0.6871801208925552
fat,0.018233416728718234,0.020730376033236304,0.0013827112563619577,0.02757410923076723,-0.15421665729018214
fat_t-1,0.011584285183532364,0.016496804267521654,0.00015073718473155827,0.02015781455195622,-0.08970191546859989
