CAT OOF SHAP GLOBAL REPORT

feature                                    mean_abs_shap    std_abs_shap     mean_shap      std_shap      spearman
------------------------------------------------------------------------------------------------------------------
scs                                             0.655565        0.798373      0.001397      1.033061      0.972926
scs_t-1                                         0.418194        0.579464      0.001876      0.714623      0.930423
scs_t-2                                         0.399148        0.591227     -0.002543      0.713363      0.953129
months_since_calving                            0.142845        0.102399     -0.002670      0.175740      0.447663
age                                             0.113376        0.075340     -0.001113      0.136125     -0.955098
milk_t-2                                        0.078354        0.078767      0.003021      0.111063      0.903391
ec_t-2                                          0.075948        0.037639      0.000934      0.084760      0.364242
milk_t-1                                        0.070915        0.048802      0.001380      0.086076      0.966833
ec                                              0.063069        0.053328     -0.003709      0.082511      0.007799
milk                                            0.062009        0.056140     -0.001836      0.083629     -0.730111
month_sin                                       0.056136        0.050937      0.003575      0.075719      0.630357
month_cos                                       0.047314        0.049534     -0.003663      0.068403      0.354947
ec_t-1                                          0.042430        0.033704      0.002597      0.054126     -0.066911
protein_t-1                                     0.036201        0.031319     -0.000197      0.047869     -0.914176
protein                                         0.028912        0.037659      0.000378      0.047477     -0.604515
lactose                                         0.028689        0.027542      0.000035      0.039771      0.923583
protein_t-2                                     0.024007        0.020222      0.000232      0.031388     -0.794734
lactose_t-1                                     0.022169        0.023686     -0.000171      0.032443      0.758792
lactose_t-2                                     0.019216        0.029208      0.000656      0.034957     -0.855996
fat_t-2                                         0.018634        0.033547     -0.001214      0.038357      0.687180
fat                                             0.018233        0.020730      0.001383      0.027574     -0.154217
fat_t-1                                         0.011584        0.016497      0.000151      0.020158     -0.089702
