,scs,milk,fat,protein,lactose,ec,age,months_since_calving,month_sin,month_cos,scs_t-1,scs_t-2,milk_t-1,milk_t-2,fat_t-1,fat_t-2,protein_t-1,protein_t-2,lactose_t-1,lactose_t-2,ec_t-1,ec_t-2
scs,0.7148406805525819,0.002772463424072358,0.002496478432221358,0.002435041094060725,0.0020116150358658624,0.0040062528341263184,0.004594043756227614,0.0057175081095515775,0.0019182480305402936,0.0023644464104890443,0.050931930245074954,0.044494276706832425,0.0027077736446001815,0.0031379593610537876,0.001826431273380339,0.0021100070281725104,0.0017995405325125229,0.001706310664362632,0.001953413195174133,0.0012952936974856594,0.0022016017977411827,0.0024737560046537216
milk,0.002772463424072359,0.05809554814416568,0.0019068259422713105,0.003124980997610164,0.0022544971913893643,0.00468789394088091,0.002912966514312157,0.01656752476668211,0.0012026077411384766,0.0011131387704392554,0.0019908532367073424,0.0018221045280862292,0.009664546283665986,0.014679558880415649,0.001699396186926863,0.0018620191760449706,0.002143979522721612,0.0021359445821950702,0.0014411204157011332,0.0015395253743961505,0.002999703834282123,0.004750546105681496
fat,0.002496478432221357,0.00190682594227131,0.017448236701714845,0.000940812598899306,0.0008734229709884701,0.0011985626770185127,0.0008051941009967882,0.002819508514004679,0.0017923387556763829,0.0008122400333644706,0.0012594761304099624,0.0013835425103247228,0.003021249471778218,0.002398002312651007,0.001276976975410998,0.0018856503469337244,0.0017611226548394341,0.0015461696188751825,0.0008254003193825094,0.0006410318430966604,0.0017354730093189499,0.001603898573034245
protein,0.0024350410940607277,0.003124980997610164,0.000940812598899306,0.029064284494608864,0.0010753411367154207,0.0018889046784029355,0.0008921117118397141,0.0023470073329439874,0.001480754677847919,0.001008221963554475,0.0013917514072322602,0.0012437636246637592,0.002906207540767753,0.0011763578233237259,0.0007928195729251676,0.0019072261754834526,0.0024023718520002745,0.003130993966127424,0.0008909254724052399,0.0008363651256589034,0.0011073421165653516,0.001456115261667148
lactose,0.0020116150358658624,0.0022544971913893647,0.00087342297098847,0.0010753411367154207,0.027898161706859458,0.00431611118619149,0.0020824945364247907,0.001937950444449588,0.0012137931583068905,0.0007091128880970975,0.002161240444215075,0.0011479310737448603,0.0011569027485851904,0.0017901739848763133,0.002055133028858876,0.001340604591624243,0.0018069542046043289,0.002770902239247306,0.0016620295585667584,0.0012090640285303451,0.00126699798666414,0.002383995205692921
ec,0.004006252834126316,0.00468789394088091,0.001198562677018513,0.001888904678402935,0.004316111186191489,0.06015862925995483,0.01323243550107373,0.0037035910301355906,0.0026474206693396247,0.0016719410711421186,0.002526090483671721,0.002648357107506115,0.0045301488955546134,0.004039440809379899,0.0017978982674467965,0.0032796134105419193,0.0027602513193855983,0.0025056964412828453,0.0014456718981216729,0.001764974100596512,0.010057257021234233,0.004892965738405077
age,0.004594043756227618,0.002912966514312156,0.0008051941009967882,0.0008921117118397144,0.002082494536424791,0.013232435501073732,0.10772808166171581,0.005924958760996958,0.0018369498828048369,0.0014898239854854328,0.003928361476245124,0.00558009943531447,0.0020995923972671592,0.0032896951531442256,0.0012794730552212297,0.001688321982419735,0.001381343894158637,0.001635555405343701,0.0008925904219343152,0.00217431424752636,0.010066750515028339,0.010649190976454063
months_since_calving,0.005717508109551576,0.016567524766682107,0.002819508514004679,0.002347007332943989,0.0019379504444495875,0.003703591030135592,0.005924958760996959,0.13725795530907922,0.02762362370502907,0.02297286387064606,0.002198721459678518,0.0025308230910513407,0.007476003571164047,0.0029366060941237947,0.0028368206727472497,0.002386132491012089,0.0041690910400272625,0.00308054839246836,0.0010500390054269128,0.0009932793896602575,0.0020705995373191495,0.0016382524230010662
month_sin,0.0019182480305402923,0.0012026077411384766,0.0017923387556763835,0.0014807546778479192,0.001213793158306891,0.002647420669339625,0.0018369498828048369,0.027623623705029077,0.05040467390217309,0.012300291845272059,0.0017414799990176828,0.0038259603733317867,0.0013681098263035804,0.0016070355820855561,0.0017666534637181084,0.0010300564055561025,0.002550494259116574,0.001596459669523839,0.0007208826811780567,0.0005834603205286105,0.0007917278234817477,0.0015816891743372582
month_cos,0.002364446410489041,0.0011131387704392554,0.0008122400333644709,0.001008221963554475,0.0007091128880970973,0.0016719410711421186,0.0014898239854854336,0.022972863870646055,0.012300291845272059,0.029116662085222463,0.0020692376337056646,0.0014794638832779099,0.0007769674418554379,0.0011621149612453074,0.0011576624216955444,0.0008230152552392496,0.0009917202833525315,0.0007531386375244839,0.0007968808399528183,0.0010848038164654999,0.0015282285049569644,0.000993396809593264
