feature_1,feature_2,mean_abs_interaction
scs,scs_t-1,0.050931930245074954
scs,scs_t-2,0.044494276706832425
scs_t-1,scs_t-2,0.03775646377870578
months_since_calving,month_sin,0.02762362370502907
months_since_calving,month_cos,0.02297286387064606
milk,months_since_calving,0.01656752476668211
milk,milk_t-2,0.014679558880415649
ec,age,0.01323243550107373
month_sin,month_cos,0.012300291845272059
age,ec_t-2,0.010649190976454063
age,ec_t-1,0.010066750515028339
ec,ec_t-1,0.010057257021234233
milk,milk_t-1,0.009664546283665986
months_since_calving,milk_t-1,0.007476003571164047
age,months_since_calving,0.005924958760996958
scs,months_since_calving,0.0057175081095515775
ec_t-1,ec_t-2,0.005672128016998269
age,scs_t-2,0.00558009943531447
milk_t-2,ec_t-2,0.005027885850790933
ec,ec_t-2,0.004892965738405077
milk,ec_t-2,0.004750546105681496
milk,ec,0.00468789394088091
scs,age,0.004594043756227614
ec,milk_t-1,0.0045301488955546134
lactose,ec,0.00431611118619149
milk_t-2,ec_t-1,0.004220971973770182
months_since_calving,protein_t-1,0.0041690910400272625
milk_t-1,milk_t-2,0.004144067084091664
ec,milk_t-2,0.004039440809379899
scs,ec,0.0040062528341263184
age,scs_t-1,0.003928361476245124
month_sin,scs_t-2,0.0038259603733317867
ec,months_since_calving,0.0037035910301355906
scs_t-2,milk_t-2,0.003439261598105495
scs_t-2,ec_t-2,0.003365942630988878
age,milk_t-2,0.0032896951531442256
ec,fat_t-2,0.0032796134105419193
lactose_t-2,ec_t-2,0.0032209970831064117
scs,milk_t-2,0.0031379593610537876
protein,protein_t-2,0.003130993966127424
milk,protein,0.003124980997610164
months_since_calving,protein_t-2,0.00308054839246836
fat,milk_t-1,0.003021249471778218
milk_t-1,protein_t-2,0.0030020799614352773
milk,ec_t-1,0.002999703834282123
months_since_calving,milk_t-2,0.0029366060941237947
milk,age,0.002912966514312157
protein,milk_t-1,0.002906207540767753
protein_t-2,lactose_t-1,0.0028711986061820747
months_since_calving,fat_t-1,0.0028368206727472497
