repeat,fold,global_fold,repeat_seed,accuracy,precision,recall,specificity,f1,mcc,pr_auc,roc_auc,tp,tn,fp,fn,fit_seconds,epochs_used,stopped_early,ram_mb_mean_fold,ram_mb_std_fold,ram_mb_max_fold,train_loss_last,valid_loss_last,train_loss_min,valid_loss_min,best_loss_epoch,epochs_ran
1,1,1,42,0.68952802359882,0.7482292337411461,0.5712881022615536,0.8077679449360865,0.6478951770281572,0.3901212934841681,0.7967601330321042,0.7510052799556024,1162,1643,391,872,14.200474262237549,18,False,687.91015625,0.0,687.91015625,0.5304124530210185,0.5585239854299682,0.5304124530210185,0.5567349986692446,15,18
1,2,2,42,0.6902654867256637,0.7471264367816092,0.5752212389380531,0.8053097345132744,0.65,0.3910222128708364,0.7972356004364275,0.7541319447465844,1170,1638,396,864,16.128021955490112,18,False,687.9609375,0.0,687.9609375,0.5317984190980716,0.5612801816259514,0.5317984190980716,0.5555468031087104,13,18
1,3,3,42,0.6983034177526433,0.7681063122923588,0.5683382497541789,0.8283325135268077,0.6532918903645097,0.410786859633206,0.8056360864171337,0.7613492419328862,1156,1684,349,878,14.523242950439453,18,False,687.9609375,0.0,687.9609375,0.53375356256775,0.5483193548402183,0.53375356256775,0.5483193548402183,18,18
1,4,4,42,0.6954277286135693,0.7837259100642399,0.5398230088495575,0.8510324483775811,0.6393013100436681,0.4112790173009608,0.8035971280536321,0.7619134980648542,1098,1731,303,936,14.190451383590698,18,False,687.9609375,0.0,687.9609375,0.5320370735936027,0.5533830222244225,0.5320370735936027,0.5516014956560575,17,18
1,5,5,42,0.6990410622080158,0.7594611930724824,0.5823905558288244,0.8156342182890856,0.6592427616926503,0.40932422149004666,0.8103255571602093,0.7643883300178327,1184,1659,375,849,14.8582444190979,18,False,687.9609375,0.0,687.9609375,0.5328225453758157,0.544082776360527,0.5328225453758157,0.544082776360527,18,18
2,1,6,43,0.7008357915437562,0.7613563659628919,0.5850540806293019,0.8166175024582104,0.6616624965248818,0.41289412405360065,0.8079314281933974,0.7614924358665711,1190,1661,373,844,13.031908988952637,18,False,687.9609375,0.0,687.9609375,0.534978624986005,0.5469649866618941,0.534978624986005,0.5469649866618941,18,18
2,2,7,43,0.6814159292035398,0.7289081885856079,0.5776794493608652,0.7851524090462143,0.6445419637959408,0.37090241564999127,0.7963832133440562,0.752661973587653,1175,1597,437,859,16.171284198760986,18,False,688.21875,0.0,688.21875,0.5323223553520079,0.5575515584490879,0.5323223553520079,0.5575515584490879,18,18
2,3,8,43,0.6914187361691665,0.7411764705882353,0.588495575221239,0.794392523364486,0.65607015620718,0.39126367935780015,0.8016162290868664,0.7555193051136097,1197,1615,418,837,14.951845645904541,18,False,687.9609375,0.0,687.9609375,0.5332514663926868,0.5526510482781755,0.5332514663926868,0.5520409088566228,17,18
2,4,9,43,0.6969026548672567,0.7671781187458305,0.5653883972468043,0.828416912487709,0.6510048117746957,0.40817805088769465,0.8027230812226138,0.7585237298279301,1150,1685,349,884,15.324024677276611,18,False,687.9609375,0.0,687.9609375,0.5314942476642447,0.5528361105168698,0.5314942476642447,0.5524894986063564,16,18
2,5,10,43,0.6919104991394148,0.7586206896551724,0.5627151992129857,0.8210422812192724,0.6461451567353855,0.3972511873948397,0.8022328783192237,0.7582367581899638,1144,1670,364,889,14.231982231140137,18,False,687.9609375,0.0,687.9609375,0.532077920811609,0.5500204951076682,0.532077920811609,0.5500204951076682,18,18
3,1,11,44,0.6841199606686332,0.7481776010603048,0.5550639134709932,0.8131760078662733,0.6373130115721141,0.38115538058054593,0.7928722375587995,0.7489782836325244,1129,1654,380,905,15.89162564277649,18,False,688.23046875,0.0,688.23046875,0.5309089664088192,0.5612616998490565,0.5309089664088192,0.5612616998490565,18,18
3,2,12,44,0.6946902654867256,0.7506329113924051,0.5830875122910522,0.8062930186823992,0.6563364692861096,0.39945830062867055,0.8069928735456359,0.7633079342427503,1186,1640,394,848,14.025541543960571,18,False,688.23046875,0.0,688.23046875,0.5329031278878982,0.5468299795627125,0.5329031278878982,0.5468299795627125,18,18
3,3,13,44,0.7030481809242871,0.7856154910096819,0.5585054080629301,0.8475909537856441,0.6528735632183909,0.42420868636927944,0.8093738546703686,0.7649660781464368,1136,1724,310,898,14.617563486099243,18,False,688.23046875,0.0,688.23046875,0.5340896879923293,0.5469403064415049,0.5340896879923293,0.5449494106462455,13,18
3,4,14,44,0.6862552249815589,0.7595890410958904,0.5452310717797444,0.8273487456960157,0.6348025186033199,0.3883439518467304,0.7938222255616312,0.7496900937868338,1109,1682,351,925,14.056349277496338,18,False,689.77734375,0.0,689.77734375,0.5285206768762706,0.5631598427191923,0.5285206768762706,0.5617728737492745,17,18
3,5,15,44,0.7061716252766167,0.7808310991957105,0.573044761436301,0.8392330383480826,0.6609929078014184,0.42772150375977647,0.8107530288829777,0.7659607140974318,1165,1707,327,868,13.586292743682861,18,False,688.4375,0.0,688.4375,0.535602733072494,0.5448283001337175,0.535602733072494,0.5411961806884468,16,18
4,1,16,45,0.6937069813176008,0.7905604719764012,0.5270403146509341,0.8603736479842674,0.6324483775811209,0.41091456015855415,0.8012883019725624,0.7595137819313558,1072,1750,284,962,12.917237043380737,18,False,688.23046875,0.0,688.23046875,0.5326398004691294,0.5569064294811312,0.5326398004691294,0.5520020328322929,14,18
4,2,17,45,0.6946902654867256,0.7525510204081632,0.5801376597836775,0.8092428711897739,0.6551915602443087,0.40002040764267544,0.8094955688592349,0.765840591942871,1180,1646,388,854,14.11387586593628,18,False,688.74609375,0.0,688.74609375,0.5328294452671339,0.548599954200002,0.5328294452671339,0.5433689709844374,15,18
4,3,18,45,0.6944444444444444,0.7827019299499642,0.5383480825958702,0.8505408062930186,0.6379260122341975,0.40934862822637424,0.8063215272357089,0.7637273044574583,1095,1730,304,939,15.994273662567139,18,False,688.23046875,0.0,688.23046875,0.5358877661957943,0.5509480857450585,0.5358877661957943,0.5484602002384857,17,18
4,4,19,45,0.686501106466683,0.7328009828009828,0.5868175110673881,0.7861356932153393,0.6517344987708277,0.38059703968699865,0.7973681939779111,0.7513432493648313,1193,1599,435,840,14.281469345092773,18,False,688.234375,0.0,688.234375,0.5296173537197304,0.5625646756268087,0.5296173537197304,0.5583604346307689,16,18
4,5,20,45,0.693631669535284,0.7640750670241286,0.56047197640118,0.8268568617806198,0.6466250709018718,0.40183796751435397,0.8014472586885512,0.7562715199212986,1140,1681,352,894,15.698926210403442,18,False,688.75,0.0,688.75,0.5312464244466358,0.5581107046084173,0.5312464244466358,0.5536646407389776,16,18
5,1,21,46,0.6922320550639135,0.7761299435028248,0.54031465093412,0.844149459193707,0.6371014492753623,0.403541651031279,0.7982483269702649,0.7551569242252407,1099,1717,317,935,14.310720682144165,18,False,689.7890625,0.0,689.7890625,0.5307540381841303,0.5590831098772198,0.5307540381841303,0.5573712886258916,16,18
5,2,22,46,0.6887905604719764,0.7601626016260162,0.551622418879056,0.8259587020648967,0.6393162393162393,0.39264542604389885,0.7960814077737239,0.7487531289610544,1122,1680,354,912,15.423680305480957,18,False,688.7734375,0.0,688.7734375,0.5302779020820575,0.559011391423562,0.5302779020820575,0.559011391423562,18,18
5,3,23,46,0.69960668633235,0.7592592592592593,0.5845624385447394,0.8146509341199607,0.6605555555555556,0.41021968585415913,0.8112463880775649,0.7699871602617837,1189,1657,377,845,14.414497137069702,18,False,688.78125,0.0,688.78125,0.5362735629448073,0.5425122856742162,0.5362735629448073,0.5424583066060714,17,18
5,4,24,46,0.686501106466683,0.7581743869209809,0.5474667978357107,0.8254670599803343,0.6358183376178235,0.38824852085246847,0.8027533907435538,0.759349059108776,1113,1679,355,920,16.024054050445557,18,False,688.78125,0.0,688.78125,0.531625921311108,0.5518016531011939,0.531625921311108,0.5504876224244875,16,18
5,5,25,46,0.6970740103270223,0.7607282184655396,0.5752212389380531,0.8189867191342843,0.6550951847704367,0.4064592098461079,0.8060061347053917,0.761523481048443,1170,1665,368,864,13.776701927185059,18,False,688.78125,0.0,688.78125,0.5331310828648923,0.5480823394910458,0.5331310828648923,0.5474534736003224,17,18
