repeat,fold,global_fold,n_train,n_valid,fit_seconds,predict_seconds,explain_seconds,fold_total_seconds,fold_rss_avg_mb,fold_rss_peak_mb,fold_rss_min_mb,fold_rss_last_mb,n_loss_iterations,train_loss_last,valid_loss_last,train_loss_min,valid_loss_min,train_loss_at_best_valid,best_loss_iteration,accuracy,precision,recall,specificity,f1,mcc,pr_auc,roc_auc,tp,tn,fp,fn
1,1,1,16270,4068,0.45729899406433105,0.01091909408569336,20.32394504547119,20.792163133621216,384.47144396551727,391.1171875,367.80078125,391.1171875,183,0.4954604001279731,0.5427691179808247,0.4954604001279731,0.5414403685850775,0.5110431162479331,126,0.6873156342182891,0.7764876632801161,0.5260570304818093,0.8485742379547689,0.6271981242672919,0.3957803448287317,0.8014381116413156,0.7552685951412034,1070,1726,308,964
1,2,2,16270,4068,5.43414568901062,0.011527538299560547,17.83169174194336,23.27736496925354,387.5757155373832,394.5546875,383.14453125,394.5546875,183,0.4942500333402873,0.5451728618159187,0.4942500333402873,0.544528165909296,0.503862068258391,148,0.6905113077679449,0.7830533235938641,0.5270403146509341,0.8539823008849557,0.6300323244196298,0.40317958747852223,0.8015274583188287,0.7616758952285096,1072,1737,297,962
1,3,3,16271,4067,5.036263465881348,0.011114120483398438,18.453669548034668,23.501047134399414,400.04899878640776,400.55078125,400.0390625,400.55078125,183,0.49617329319857656,0.5387987601976404,0.49617329319857656,0.5386693120484296,0.4966988424231035,181,0.6997787066633883,0.7836706210746686,0.5521140609636185,0.8475159862272503,0.6478223247764638,0.4182840625392217,0.8066454342098979,0.7621409960818568,1123,1723,310,911
1,4,4,16270,4068,7.704397678375244,0.011607646942138672,16.42283320426941,24.138838529586792,400.55078125,400.55078125,400.55078125,400.55078125,183,0.4935231034263095,0.5481425202094168,0.4935231034263095,0.5480915737273702,0.49445325206102525,179,0.6892822025565388,0.7765804597701149,0.5314650934119961,0.8470993117010817,0.6310566258026854,0.3989588037285149,0.7989482966997916,0.7547771947685802,1081,1723,311,953
1,5,5,16271,4067,5.565755844116211,0.012212514877319336,17.340331077575684,22.918299436569214,400.55078125,400.55078125,400.55078125,400.55078125,183,0.4975667377683121,0.5377872277958096,0.4975667377683121,0.5377872277958096,0.4975667377683121,183,0.6943693139906565,0.7841726618705036,0.5361534677816036,0.8525073746312685,0.6368682442302074,0.40971641645787193,0.8095458433371742,0.764262577984398,1090,1734,300,943
2,1,6,16270,4068,5.5797038078308105,0.01095438003540039,18.288886547088623,23.879544734954834,400.55859375,400.55859375,400.55859375,400.55859375,183,0.49449590744256455,0.5353419586837099,0.49449590744256455,0.5349824030594,0.49830973905409554,169,0.7047689282202556,0.7977126518942101,0.5486725663716814,0.86086529006883,0.6501602097290999,0.4310839536189251,0.8123137072851792,0.7654023681968966,1116,1751,283,918
2,2,7,16270,4068,5.314111709594727,0.009979009628295898,16.364397764205933,21.688488483428955,400.55859375,400.55859375,400.55859375,400.55859375,183,0.4944277563616887,0.5438215122955878,0.4944277563616887,0.5437743119239041,0.49462987409848974,182,0.6875614552605703,0.7794871794871795,0.5231071779744346,0.852015732546706,0.62606649014416,0.39722373386497095,0.8023171524520948,0.7611412284187495,1064,1733,301,970
2,3,8,16271,4067,6.983093976974487,0.01061701774597168,16.076761722564697,23.070472717285156,400.55888856132077,400.58984375,400.55859375,400.58984375,183,0.4955512495470721,0.5383420118453083,0.4955512495470721,0.5382444344934569,0.49581333712695913,182,0.6889599213179247,0.7694463910301331,0.5398230088495575,0.838170191834727,0.6344986997977463,0.39601733920214993,0.8061503647895853,0.7652224045626705,1098,1704,329,936
2,4,9,16270,4068,5.568542957305908,0.011747598648071289,18.33850622177124,23.91879677772522,400.58984375,400.58984375,400.58984375,400.58984375,183,0.4945815622181534,0.5464002943041045,0.4945815622181534,0.546283307936725,0.49871992479030786,168,0.6964110127826942,0.7974683544303798,0.5265486725663717,0.8662733529990168,0.6342907906425822,0.41766253458971764,0.8018291411348668,0.754920771660532,1071,1762,272,963
2,5,10,16271,4067,5.004901170730591,0.010787010192871094,16.325863361358643,21.341551542282104,400.58984375,400.58984375,400.58984375,400.58984375,183,0.4956323345798318,0.5428046978824309,0.4956323345798318,0.5428046978824309,0.4956323345798318,183,0.6887140398328006,0.7757009345794392,0.5307427447122479,0.8466076696165191,0.6302570093457944,0.39772452812643533,0.8021633645597841,0.7555868968315809,1079,1722,312,954
3,1,11,16270,4068,6.9578163623809814,0.013984918594360352,16.678958654403687,23.65075993537903,400.82504300458714,401.078125,400.8203125,401.078125,183,0.49322275448561187,0.5484733532567191,0.49322275448561187,0.5483985522590802,0.4934259208312294,182,0.6932153392330384,0.7968277945619335,0.5186823992133727,0.867748279252704,0.6283502084574152,0.4123694656311228,0.8012159513156248,0.7550585474659404,1055,1765,269,979
3,2,12,16270,4068,5.833133697509766,0.012691020965576172,17.8245747089386,23.67039942741394,401.078125,401.078125,401.078125,401.078125,183,0.49622835976383534,0.5368882032371353,0.49622835976383534,0.5367368275293981,0.4969899606250605,180,0.6951819075712881,0.7756944444444445,0.5491642084562438,0.8411996066863323,0.643062751871042,0.4081563672895129,0.8090233023232306,0.7649535091255926,1117,1711,323,917
