feature,perm_importance_mean,perm_importance_std,perm_importance_norm,top_interaction_partners
scs,0.12953251240353855,0.011188837195029598,1.0,"scs_t-1, scs_t-2, months_since_calving, age, ec"
scs_t-1,0.07178926137662969,0.008170269691158076,0.5542180881428542,"scs, scs_t-2, age, months_since_calving, milk_t-1"
scs_t-2,0.06538666515978031,0.006139360633668819,0.504789600282578,"scs, scs_t-1, age, months_since_calving, month_sin"
months_since_calving,0.030750875554867715,0.007396172687033895,0.23739889688133362,"month_sin, month_cos, scs, milk, milk_t-1"
milk,0.0189895161430709,0.0074028892908401525,0.14660038465024128,"milk_t-2, months_since_calving, milk_t-1, scs, ec_t-2"
age,0.017691388861189324,0.006638877989103748,0.13657875179688117,"ec_t-2, ec, scs, ec_t-1, months_since_calving"
milk_t-2,0.012369346418450122,0.006637132585493535,0.09549221418569673,"milk, scs, scs_t-2, ec_t-2, scs_t-1"
month_sin,0.01140509124450019,0.005494163435072684,0.0880480972141526,"months_since_calving, scs_t-2, protein_t-1, scs, scs_t-1"
month_cos,0.009281817301253431,0.004740820288338197,0.07165627477630761,"months_since_calving, scs, month_sin, scs_t-1, ec_t-2"
ec_t-2,0.0071363352714428644,0.005305567171937618,0.05509300436643052,"age, ec, scs, milk, milk_t-2"
milk_t-1,0.00577825426085727,0.005628969888823814,0.04460852455988818,"months_since_calving, milk, scs, scs_t-1, ec"
ec,0.0044752484715606606,0.0038784933022696887,0.034549229290162416,"age, scs, ec_t-2, ec_t-1, milk_t-1"
ec_t-1,0.002228239626960932,0.003612222620911805,0.017202164812639434,"age, ec, ec_t-2, scs, scs_t-1"
lactose,0.002159612495516389,0.003104065270611039,0.01667235858738268,"ec, ec_t-2, age, scs_t-1, months_since_calving"
protein,0.0019255382021559988,0.0027841050133719323,0.014865288771341682,"scs, milk_t-1, months_since_calving, scs_t-2, scs_t-1"
protein_t-1,0.001663506753620054,0.0039221208217938884,0.01284238777394864,"months_since_calving, month_sin, scs, scs_t-1, age"
fat_t-2,0.0006303940283941523,0.0030714339808221177,0.004866685720031871,"fat, scs_t-2, age, months_since_calving, ec"
protein_t-2,0.0005485341899190159,0.002397764441740323,0.004234722076648542,"months_since_calving, scs_t-1, ec, scs, milk"
fat_t-1,0.00047243904160555294,0.0023847425740013846,0.0036472622420365168,"months_since_calving, scs, scs_t-1, ec_t-2, ec"
lactose_t-2,0.00046826503366922327,0.002870054594405211,0.00361503861061859,"age, ec_t-2, lactose_t-1, lactose, scs_t-1"
lactose_t-1,-0.00010499816514228662,0.002473815591502396,-0.0008105931336773661,"scs_t-1, scs, lactose_t-2, protein_t-2, fat_t-2"
fat,-0.0003259971612916923,0.003320549718898839,-0.002516720746341262,"scs, milk_t-1, scs_t-1, months_since_calving, fat_t-2"
