feature,mean_abs_shap,std_abs_shap,mean_shap,std_shap,spearman_feature_vs_shap
scs,0.9563089980498447,1.0926544493206327,-0.1504077143681856,1.444264798202182,0.946126006328106
scs_t-1,0.4057739321089505,0.8193746223981774,0.09661466140619263,0.9092488904103858,0.9084477530723076
scs_t-2,0.39301924367470464,0.7962839482872298,0.05097314086239483,0.8865509951828536,0.930332338821047
months_since_calving,0.11975014600275702,0.10030247120259335,0.008851289966876005,0.1559600422207371,0.4339218284223245
age,0.09189589115601589,0.06840405905564204,0.0015658277169182788,0.11455201439712957,-0.9235543797407421
milk_t-1,0.06365899996466177,0.04981101147694681,-0.006067765214568681,0.08060463432217932,0.9525752216067187
milk,0.06362395800542624,0.0613906428470167,0.003482531675792997,0.08834633611417016,-0.7983063998275766
ec_t-2,0.0633877377368934,0.03765861168786905,-5.4912439870112345e-05,0.07373222381925022,0.3300298814042105
milk_t-2,0.06302943147697093,0.07570204386815074,-0.002917965691142593,0.09846558407243623,0.9014156716204981
ec,0.05074298970816662,0.04585780214494167,-0.0007484713756636791,0.06839195113420662,0.012482623794494168
month_sin,0.04626585956479221,0.04746953943398465,-0.001031212876923696,0.06628000985944703,0.6269441262584947
month_cos,0.03569168245434001,0.04915661804906028,0.0026132813295102826,0.0606928440417099,0.3702416953372922
protein_t-1,0.0306169041853169,0.026798075428106107,0.0005655783201617808,0.04068529516879154,-0.814912640366407
ec_t-1,0.02849454194421647,0.026557224942871396,-0.00205230270453098,0.03889842704443705,-0.11290709531584185
lactose,0.02376049971582329,0.02210124103354465,0.0003681351499251435,0.032449075355334284,0.9106879648623059
protein,0.022417330803778224,0.029415130358969862,-0.0010193978998597518,0.03697045712736141,-0.5295477952144266
fat,0.01923127788629339,0.02047512043870868,-0.0021955358230467755,0.028005192764198193,-0.17711423472310064
lactose_t-1,0.01722089773580546,0.019466394510332958,2.0368237274853613e-05,0.025991011150773964,0.7231086625538504
protein_t-2,0.015483025159924953,0.014720015429539128,0.00048025884995864834,0.021358715366424967,-0.5937147564222609
fat_t-2,0.015240396067572047,0.021820708017930696,0.0020559734165152893,0.026537155030740243,0.5090387488275607
lactose_t-2,0.014552435355819567,0.02243905963175071,-9.896651093054372e-05,0.026745283254815157,-0.5908203462825091
fat_t-1,0.011376511916208722,0.017013841659268305,-0.00018390050059461779,0.020466622199712927,0.13863909069384583
