LGBM OOF SHAP GLOBAL REPORT

feature                                    mean_abs_shap    std_abs_shap     mean_shap      std_shap      spearman
------------------------------------------------------------------------------------------------------------------
scs                                             0.956309        1.092654     -0.150408      1.444265      0.946126
scs_t-1                                         0.405774        0.819375      0.096615      0.909249      0.908448
scs_t-2                                         0.393019        0.796284      0.050973      0.886551      0.930332
months_since_calving                            0.119750        0.100302      0.008851      0.155960      0.433922
age                                             0.091896        0.068404      0.001566      0.114552     -0.923554
milk_t-1                                        0.063659        0.049811     -0.006068      0.080605      0.952575
milk                                            0.063624        0.061391      0.003483      0.088346     -0.798306
ec_t-2                                          0.063388        0.037659     -0.000055      0.073732      0.330030
milk_t-2                                        0.063029        0.075702     -0.002918      0.098466      0.901416
ec                                              0.050743        0.045858     -0.000748      0.068392      0.012483
month_sin                                       0.046266        0.047470     -0.001031      0.066280      0.626944
month_cos                                       0.035692        0.049157      0.002613      0.060693      0.370242
protein_t-1                                     0.030617        0.026798      0.000566      0.040685     -0.814913
ec_t-1                                          0.028495        0.026557     -0.002052      0.038898     -0.112907
lactose                                         0.023760        0.022101      0.000368      0.032449      0.910688
protein                                         0.022417        0.029415     -0.001019      0.036970     -0.529548
fat                                             0.019231        0.020475     -0.002196      0.028005     -0.177114
lactose_t-1                                     0.017221        0.019466      0.000020      0.025991      0.723109
protein_t-2                                     0.015483        0.014720      0.000480      0.021359     -0.593715
fat_t-2                                         0.015240        0.021821      0.002056      0.026537      0.509039
lactose_t-2                                     0.014552        0.022439     -0.000099      0.026745     -0.590820
fat_t-1                                         0.011377        0.017014     -0.000184      0.020467      0.138639
