,scs,milk,fat,protein,lactose,ec,age,months_since_calving,month_sin,month_cos,scs_t-1,scs_t-2,milk_t-1,milk_t-2,fat_t-1,fat_t-2,protein_t-1,protein_t-2,lactose_t-1,lactose_t-2,ec_t-1,ec_t-2
scs,1.064343738877925,0.006176951358306572,0.004562209515325311,0.0035381580746320167,0.0026355178596994045,0.008385200413929135,0.009724874740866531,0.013194117924647435,0.00520905755867079,0.003899480990115575,0.09134654753889022,0.0812986382805854,0.006759855252475879,0.006617075495059056,0.0026539500621130083,0.0023611292485751115,0.003974173985587694,0.002457744303512413,0.0025857433964510813,0.0016729666368006963,0.00373562448944317,0.006490056795553115
milk,0.006176951358306572,0.07268502689863889,0.002359987890727738,0.0019002956270067846,0.0020010949056345805,0.003541611076223581,0.004032532820217344,0.013214860669034004,0.0034127505017570734,0.001998854815409022,0.004144770057234484,0.004425043896317834,0.007221126784923257,0.014325487929603685,0.0020816979600837026,0.0024757375930353057,0.002268249658280939,0.0023780089900099694,0.001545824110192897,0.0018919675025728618,0.0029410810619951797,0.0056888204669902544
fat,0.004562209515325311,0.0023599878907277386,0.018499570130223884,0.0015543575699111815,0.0013201837188822176,0.0020130176489983353,0.0015042923224457077,0.0032917501029551062,0.0019745908613001,0.0015891813221004017,0.0036013545222275127,0.0017100007196839205,0.0037224059515210484,0.0024753361022846017,0.0019136773018809804,0.003158599357974301,0.0019245825328399438,0.0019533764766341694,0.001416604653588528,0.001149396860891427,0.0022584302917854878,0.0021922204553848786
protein,0.0035381580746320167,0.0019002956270067841,0.0015543575699111815,0.02226158229933628,0.0008920602920811439,0.0012463210862508403,0.0015264262461470303,0.0024749000737726936,0.0013644156012159975,0.0009923388985605837,0.0022559498316542304,0.002343953523492774,0.0026662776938819366,0.001333275897762528,0.0008556491520626919,0.002263952768433114,0.0019074616878425807,0.002147757096391405,0.0011260077657106599,0.0008701470419215873,0.001185263178503252,0.0019038785222269734
lactose,0.0026355178596994045,0.002001094905634581,0.0013201837188822176,0.0008920602920811439,0.024295388618887512,0.0033092929971680284,0.003068222721882037,0.0026799625107485968,0.0015006695269302191,0.001241483096801477,0.002965699370007558,0.0018603699851216183,0.0016077858879528567,0.002012459761726675,0.0020586806339481308,0.0016224890423837107,0.0014510450973708655,0.0016267750733006878,0.0013699554396487711,0.0019653159221157982,0.0015252538786340716,0.0033135047960214264
ec,0.008385200413929135,0.0035416110762235805,0.0020130176489983353,0.0012463210862508403,0.0033092929971680284,0.04979839739816911,0.011417296324288225,0.004548319862614825,0.002336542254098413,0.002033793454905589,0.004853589975511761,0.004497545633546405,0.004884184097694508,0.0037044942492455,0.002058036032143795,0.002585966547517169,0.0028832673675797727,0.0025697174086321242,0.001478485562063246,0.001486887984782507,0.005686162186631937,0.007252432124359896
age,0.009724874740866531,0.004032532820217344,0.0015042923224457077,0.00152642624614703,0.0030682227218820374,0.011417296324288227,0.08677898887255658,0.009024935110758275,0.0026062584212806065,0.0024020779785374215,0.007497388776758862,0.00845562791900426,0.0037988334411639003,0.0049147379120871295,0.002100665468823912,0.0027649184003902265,0.0033115474161436536,0.0020105755484571735,0.0008093681394792522,0.004313299191125266,0.009131219210279238,0.01174323219932775
months_since_calving,0.013194117924647438,0.013214860669034004,0.0032917501029551053,0.002474900073772694,0.002679962510748596,0.004548319862614826,0.009024935110758272,0.11393341695947176,0.026003314494593917,0.013921174988230289,0.007295995557408446,0.007117539727715337,0.011241749328595984,0.004030818969234221,0.0027257421993786683,0.002661981530582407,0.007256283440900802,0.003199252484584302,0.001286736384027674,0.0014482840658059056,0.0021129396018395065,0.002738255073811029
month_sin,0.00520905755867079,0.003412750501757072,0.0019745908613000994,0.0013644156012159972,0.0015006695269302191,0.002336542254098413,0.002606258421280606,0.026003314494593924,0.041461716550696505,0.003232661759581303,0.0036494926083191744,0.0060302185165742065,0.001182648936994726,0.002588579794175086,0.0015426182372531808,0.0014639952932236906,0.005437083611719293,0.0017024123863019704,0.0007512270880651937,0.0008688458230201779,0.001347347779567428,0.0018801762222315638
month_cos,0.003899480990115574,0.001998854815409022,0.0015891813221004017,0.000992338898560584,0.0012414830968014768,0.002033793454905589,0.0024020779785374215,0.013921174988230289,0.003232661759581303,0.031310240741654935,0.002370873327325518,0.0022834910840361265,0.0014559101326635467,0.001469545319341956,0.0016150311158926627,0.0012082109587887024,0.0013897985770637514,0.00107157620778554,0.001282183196603266,0.001138620560754504,0.00211013959316631,0.0024178521762884203
