feature_1,feature_2,mean_abs_interaction
scs,scs_t-1,0.09134654753889022
scs,scs_t-2,0.0812986382805854
scs_t-1,scs_t-2,0.05151011189851794
months_since_calving,month_sin,0.026003314494593917
milk,milk_t-2,0.014325487929603685
months_since_calving,month_cos,0.013921174988230289
milk,months_since_calving,0.013214860669034004
scs,months_since_calving,0.013194117924647435
age,ec_t-2,0.01174323219932775
ec,age,0.011417296324288225
months_since_calving,milk_t-1,0.011241749328595984
scs,age,0.009724874740866531
age,ec_t-1,0.009131219210279238
age,months_since_calving,0.009024935110758275
age,scs_t-2,0.00845562791900426
scs,ec,0.008385200413929135
age,scs_t-1,0.007497388776758862
months_since_calving,scs_t-1,0.007295995557408446
months_since_calving,protein_t-1,0.007256283440900802
ec,ec_t-2,0.007252432124359896
milk,milk_t-1,0.007221126784923257
months_since_calving,scs_t-2,0.007117539727715337
scs,milk_t-1,0.006759855252475879
scs,milk_t-2,0.006617075495059056
scs,ec_t-2,0.006490056795553115
scs,milk,0.006176951358306572
month_sin,scs_t-2,0.0060302185165742065
scs_t-1,milk_t-1,0.00577801330713756
milk,ec_t-2,0.0056888204669902544
ec,ec_t-1,0.005686162186631937
scs_t-2,milk_t-2,0.0056607549969633535
milk_t-2,ec_t-2,0.005444122014492495
month_sin,protein_t-1,0.005437083611719293
scs_t-1,milk_t-2,0.005262865587160608
scs,month_sin,0.00520905755867079
scs_t-1,ec_t-2,0.005187339807410599
scs_t-2,ec_t-2,0.005088326153081053
age,milk_t-2,0.0049147379120871295
ec,milk_t-1,0.004884184097694508
ec,scs_t-1,0.004853589975511761
ec_t-1,ec_t-2,0.004764604920499074
scs,fat,0.004562209515325311
ec,months_since_calving,0.004548319862614825
ec,scs_t-2,0.004497545633546405
milk,scs_t-2,0.004425043896317834
age,lactose_t-2,0.004313299191125266
milk,scs_t-1,0.004144770057234484
milk,age,0.004032532820217344
months_since_calving,milk_t-2,0.004030818969234221
scs_t-2,milk_t-1,0.003979988836581418
