repeat,fold,global_fold,repeat_seed,accuracy,precision,recall,specificity,f1,mcc,pr_auc,roc_auc,tp,tn,fp,fn,fit_seconds,epochs_used,stopped_early,ram_mb_mean_fold,ram_mb_std_fold,ram_mb_max_fold,train_loss_last,valid_loss_last,train_loss_min,valid_loss_min,best_loss_epoch,epochs_ran
1,1,1,42,0.6922320550639135,0.7585978835978836,0.5639134709931171,0.8205506391347099,0.64692611393119,0.39778685968530697,0.7977913539210626,0.7521252522264087,1147,1669,365,887,13.680717706680298,16,False,689.0,0.0,689.0,0.5308418684161068,0.5583205037881257,0.5308418684161068,0.5556750485679042,15,16
1,2,2,42,0.6905113077679449,0.7534336167429693,0.5663716814159292,0.8146509341199607,0.6466460847600337,0.3933386377550586,0.7998869422319133,0.759593546871329,1152,1657,377,882,14.568374633789062,16,False,689.0546875,0.0,689.0546875,0.5318566734869933,0.5523168565952672,0.5318566734869933,0.5522017754987981,13,16
1,3,3,42,0.6963363658716498,0.7726962457337884,0.5565388397246804,0.8362026561731432,0.6470420120034296,0.4090519761610712,0.8072637881053387,0.7650689628987972,1132,1700,333,902,13.14167833328247,16,False,690.859375,0.0,690.859375,0.5311480184089616,0.5456451478991076,0.5311480184089616,0.5456451478991076,16,16
1,4,4,42,0.6885447394296952,0.743801652892562,0.5752212389380531,0.8018682399213373,0.6487385639035209,0.38716467709393965,0.8010249104549287,0.7586870062429361,1170,1631,403,864,14.80288815498352,16,False,689.0546875,0.0,689.0546875,0.5326585990340709,0.5547548308602243,0.5326585990340709,0.552214839348282,15,16
1,5,5,42,0.7014998770592574,0.7731821214142762,0.5700934579439252,0.8328416912487709,0.6562853907134768,0.4176197136800591,0.8112695424653908,0.7635709418005079,1159,1694,340,874,14.174239873886108,16,False,690.859375,0.0,690.859375,0.5326283818790699,0.546204348248875,0.5326283818790699,0.5431176837902852,11,16
2,1,6,43,0.696165191740413,0.7631926121372031,0.5688298918387414,0.8235004916420846,0.6518309859154929,0.4057074247374081,0.8079166592295712,0.762549925601065,1157,1675,359,877,15.764099597930908,16,False,689.0546875,0.0,689.0546875,0.5326904518954506,0.5488478547235037,0.5326904518954506,0.5464226608782743,11,16
2,2,7,43,0.6878072763028515,0.7567204301075269,0.5535889872173058,0.8220255653883972,0.6394094264622374,0.38992586117231237,0.799983965528732,0.7592280784190879,1126,1672,362,908,15.601624011993408,16,False,689.0546875,0.0,689.0546875,0.5280236265339878,0.5553469925151814,0.5280236265339878,0.5533088371230906,14,16
2,3,8,43,0.6919104991394148,0.7680164722031572,0.5501474926253688,0.8337432365961633,0.6410770552850186,0.4003149029012133,0.8047254186280601,0.7623429248278528,1119,1695,338,915,17.19990634918213,16,False,692.6640625,0.0,692.6640625,0.5331582799356972,0.5497938110666015,0.5331582799356972,0.5492600703784632,13,16
2,4,9,43,0.693952802359882,0.7711340206185567,0.551622418879056,0.8362831858407079,0.6431642304385211,0.4046465124674609,0.8020842783462406,0.7582197770642441,1122,1701,333,912,15.971068382263184,16,False,689.109375,0.0,689.109375,0.5324512577306001,0.5527535208089748,0.5324512577306001,0.5527535208089748,16,16
2,5,10,43,0.6889599213179247,0.7467866323907455,0.5715691096901131,0.8062930186823992,0.6475341320702146,0.38873118068224966,0.801634321757826,0.7556587205891385,1162,1640,394,871,17.027469635009766,16,False,692.71875,0.0,692.71875,0.5323963323278921,0.5533680002197517,0.5323963323278921,0.5512742979215233,13,16
3,1,11,44,0.6833824975417896,0.7579529737206085,0.5388397246804326,0.8279252704031466,0.6298850574712643,0.38312309931172206,0.7952808924267805,0.7517136167937588,1096,1684,350,938,13.607786893844604,16,False,689.12109375,0.0,689.12109375,0.5306385087908303,0.559344750003946,0.5306385087908303,0.5583373430673118,15,16
3,2,12,44,0.7010816125860374,0.7774762550881954,0.5634218289085545,0.8387413962635202,0.6533637400228051,0.4183305446800327,0.8084510058619702,0.7625099222751088,1146,1706,328,888,16.185471057891846,16,False,689.12109375,0.0,689.12109375,0.5329230045752065,0.5487698991741754,0.5329230045752065,0.5461059805800664,14,16
