repeat,fold,global_fold,repeat_seed,accuracy,precision,recall,specificity,f1,mcc,pr_auc,roc_auc,tp,tn,fp,fn,fit_seconds,epochs_used,stopped_early,ram_mb_mean_fold,ram_mb_std_fold,ram_mb_max_fold,train_loss_last,valid_loss_last,train_loss_min,valid_loss_min,best_loss_epoch,epochs_ran
1,1,1,42,0.6910029498525073,0.7630331753554502,0.5540806293018682,0.8279252704031466,0.6419823412133295,0.39718886490512256,0.8002291567386928,0.7567505310411307,1127,1684,350,907,19.518900156021118,29,False,676.0026939655172,0.4883088391432824,676.67578125,0.5301217788923132,0.5578161495625094,0.5301217788923132,0.5546382985635493,21,29
1,2,2,42,0.6887905604719764,0.7648275862068965,0.5452310717797444,0.8323500491642084,0.6366245694603904,0.39417801468716773,0.7991288131153985,0.757732606650559,1109,1693,341,925,20.3024423122406,29,False,676.9327855603449,0.12252302072027495,677.06640625,0.5287915856543683,0.5612136700512034,0.5287915856543683,0.5560846971082359,22,29
1,3,3,42,0.696582247356774,0.728310502283105,0.6273352999016716,0.76586325627152,0.6740623349181194,0.39702104620206913,0.8095564697696168,0.7682116754959104,1276,1557,476,758,21.11115550994873,29,False,677.06640625,0.0,677.06640625,0.533846400109897,0.5474890662787264,0.533846400109897,0.5474890662787264,29,29
1,4,4,42,0.6912487708947886,0.7377750611246944,0.5934119960668633,0.7890855457227138,0.6577656675749319,0.39003731851122214,0.803369441138637,0.7615639826006078,1207,1605,429,827,19.034977197647095,29,False,677.06640625,0.0,677.06640625,0.5293023756074994,0.5526782909560227,0.5293023756074994,0.5524897549004681,26,29
1,5,5,42,0.7032210474551266,0.7738726790450928,0.5740285292670929,0.8323500491642084,0.6591358373340864,0.42066769000000853,0.8088013907763142,0.7622113688544134,1167,1693,341,866,19.047884702682495,29,False,677.06640625,0.0,677.06640625,0.5320090286946093,0.5505854708426762,0.5320090286946093,0.5471867855362555,20,29
2,1,6,43,0.7008357915437562,0.7743451981195433,0.5668633235004916,0.8348082595870207,0.654555776326994,0.4169164552312927,0.8082980806580039,0.7636992658724979,1153,1698,336,881,17.981071710586548,29,False,677.06640625,0.0,677.06640625,0.530211863528019,0.5519107380916705,0.530211863528019,0.547543940583982,25,29
2,2,7,43,0.6917404129793511,0.7596537949400799,0.5609636184857424,0.8225172074729596,0.6453619909502263,0.39731165977208793,0.7963949039862385,0.7530738507322421,1141,1673,361,893,19.99103331565857,29,False,677.06640625,0.0,677.06640625,0.5298948407759312,0.5586909198421058,0.5298948407759312,0.5582257782346263,27,29
2,3,8,43,0.690681091713794,0.733453670276775,0.5993117010816126,0.7820954254795868,0.6596320346320347,0.3879358513570491,0.8021960237938665,0.7593352747512648,1219,1590,443,815,19.595938682556152,29,False,677.06640625,0.0,677.06640625,0.5315414652732967,0.5532188393543825,0.5315414652732967,0.5532188393543825,29,29
2,4,9,43,0.7010816125860374,0.7578814627994955,0.5909537856440511,0.8112094395280236,0.6640883977900552,0.41228812258830244,0.8041897570594272,0.7612599089809521,1202,1650,384,832,19.18743133544922,29,False,677.06640625,0.0,677.06640625,0.5300921734630805,0.5536432173048149,0.5300921734630805,0.5536432173048149,29,29
2,5,10,43,0.6963363658716498,0.7729138166894665,0.5558288243974422,0.8367748279252704,0.6466380543633763,0.40909196439115936,0.8038821032870542,0.7565230239881677,1130,1702,332,903,19.86501955986023,29,False,677.06640625,0.0,677.06640625,0.5282521833726399,0.5564650117925968,0.5282521833726399,0.553764718051387,24,29
3,1,11,44,0.6900196656833825,0.766368022053756,0.5467059980334317,0.8333333333333334,0.6381635581061693,0.3966833081442937,0.7940781985615297,0.7498248796999678,1112,1695,339,922,16.808553457260132,29,False,677.06640625,0.0,677.06640625,0.5306073060413775,0.5635492426573117,0.5306073060413775,0.5623077053353264,21,29
3,2,12,44,0.68952802359882,0.7435249526216046,0.5786627335299902,0.80039331366765,0.6508155930329002,0.3887323860767394,0.8035178217806729,0.7605675251307903,1177,1628,406,857,18.254466772079468,29,False,677.06640625,0.0,677.06640625,0.5333748178608079,0.5548848781731042,0.5333748178608079,0.5521887221988089,26,29
3,3,13,44,0.7055063913470994,0.7760898282694848,0.5776794493608652,0.8333333333333334,0.6623449830890643,0.42514090568815144,0.810694442334229,0.7655078754584066,1175,1695,339,859,16.783196687698364,29,False,677.06640625,0.0,677.06640625,0.5286589425109836,0.5502602792067514,0.5286589425109836,0.5476138347955815,21,29
3,4,14,44,0.693631669535284,0.7691256830601093,0.5535889872173058,0.8337432365961633,0.6437964551172098,0.40347828900811855,0.7947734367669841,0.7500532027833761,1126,1695,338,908,18.116075038909912,29,False,677.06640625,0.0,677.06640625,0.5295676998233144,0.5634656753239891,0.5295676998233144,0.5603443534684351,20,29
3,5,15,44,0.7027292844848783,0.776510067114094,0.5691096901131333,0.8362831858407079,0.6568265682656826,0.42069750134728157,0.8093620588717773,0.7665505395004066,1157,1701,333,876,15.680124521255493,29,False,677.06640625,0.0,677.06640625,0.5346105305990716,0.5431398721505712,0.5341776965817795,0.5431398721505712,29,29
4,1,16,45,0.6902654867256637,0.7424812030075187,0.5825958702064897,0.7979351032448377,0.6528925619834711,0.3896729720988101,0.7995840462340915,0.7594059784064222,1185,1623,411,849,18.577282428741455,29,False,677.06640625,0.0,677.06640625,0.5286746441731808,0.5644119570037257,0.5286746441731808,0.5538523358932991,26,29
4,2,17,45,0.7057522123893806,0.7705235940530059,0.5860373647984267,0.8254670599803343,0.6657358279810109,0.423832131511989,0.8129040219980658,0.7701945491057142,1192,1679,355,842,18.830119609832764,29,False,677.06640625,0.0,677.06640625,0.5329787603901732,0.5430561999186888,0.5329787603901732,0.5409233066067466,23,29
4,3,18,45,0.7008357915437562,0.7696369636963697,0.5732546705998034,0.828416912487709,0.6570865032403493,0.41542280392900127,0.8043202952903654,0.7608703901907494,1166,1685,349,868,16.82320785522461,29,False,677.06640625,0.0,677.06640625,0.5328029958653758,0.5536432348286977,0.5328029958653758,0.551479858810571,26,29
