repeat,fold,global_fold,repeat_seed,n_train,n_valid,n_train_ids,n_valid_ids,train_pos,train_neg,valid_pos,valid_neg,train_pos_rate,valid_pos_rate,id_overlap_count
1,1,1,42,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
1,2,2,42,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
1,3,3,42,16271,4067,15146,3786,8135,8136,2034,2033,0.49996927048122425,0.5001229407425621,0
1,4,4,42,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
1,5,5,42,16271,4067,15147,3785,8136,8135,2033,2034,0.5000307295187757,0.4998770592574379,0
2,1,6,43,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
2,2,7,43,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
2,3,8,43,16271,4067,15146,3786,8135,8136,2034,2033,0.49996927048122425,0.5001229407425621,0
2,4,9,43,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
2,5,10,43,16271,4067,15147,3785,8136,8135,2033,2034,0.5000307295187757,0.4998770592574379,0
3,1,11,44,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
3,2,12,44,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
3,3,13,44,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
3,4,14,44,16271,4067,15147,3785,8135,8136,2034,2033,0.49996927048122425,0.5001229407425621,0
3,5,15,44,16271,4067,15146,3786,8136,8135,2033,2034,0.5000307295187757,0.4998770592574379,0
4,1,16,45,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
4,2,17,45,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
4,3,18,45,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
4,4,19,45,16271,4067,15147,3785,8136,8135,2033,2034,0.5000307295187757,0.4998770592574379,0
4,5,20,45,16271,4067,15146,3786,8135,8136,2034,2033,0.49996927048122425,0.5001229407425621,0
5,1,21,46,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
5,2,22,46,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
5,3,23,46,16270,4068,15145,3787,8135,8135,2034,2034,0.5,0.5,0
5,4,24,46,16271,4067,15146,3786,8136,8135,2033,2034,0.5000307295187757,0.4998770592574379,0
5,5,25,46,16271,4067,15147,3785,8135,8136,2034,2033,0.49996927048122425,0.5001229407425621,0
