feature,perm_importance_mean,perm_importance_std,perm_importance_norm,top_interaction_partners
scs,0.12860117542860688,0.01006286033075782,1.0,"scs_t-1, scs_t-2, ec, months_since_calving, age"
scs_t-1,0.07239497894152196,0.008426081023847763,0.5629418137139199,"scs, scs_t-2, age, months_since_calving, milk_t-1"
scs_t-2,0.06565055765430632,0.00681267580638465,0.5104973374893631,"scs, scs_t-1, age, milk_t-2, month_sin"
months_since_calving,0.03279323078385493,0.007035180715705893,0.25499946384284905,"month_sin, month_cos, milk_t-1, milk, age"
milk,0.01818460696539603,0.007390381169681446,0.14140311629959587,"milk_t-2, months_since_calving, milk_t-1, ec_t-2, ec"
age,0.017562947710345295,0.005084565069057817,0.13656910717814855,"ec_t-2, ec, ec_t-1, months_since_calving, scs_t-2"
milk_t-2,0.012782756474186023,0.005931114589433854,0.0993984419783347,"milk, scs_t-2, ec_t-2, age, milk_t-1"
month_cos,0.010557519284751475,0.005965064612564472,0.08209504500689806,"months_since_calving, month_sin, scs, ec_t-1, ec"
month_sin,0.009049973982156356,0.005447461253362454,0.07037240485550975,"months_since_calving, scs_t-2, protein_t-1, month_cos, milk_t-2"
milk_t-1,0.008676793496920502,0.005562081783079045,0.06747056135375244,"months_since_calving, milk, ec, milk_t-2, age"
ec,0.005089662976584938,0.004836237067777046,0.039577110859383015,"age, ec_t-1, scs, ec_t-2, milk_t-1"
ec_t-2,0.004142857098210154,0.004702498882163542,0.03221476852293677,"age, milk, ec, milk_t-2, ec_t-1"
lactose,0.0033649543607816037,0.003142409391086411,0.02616581341163295,"age, ec, lactose_t-2, ec_t-2, milk_t-2"
protein,0.002516679772433783,0.0029256944301142723,0.01956964828700902,"scs, milk_t-1, protein_t-2, protein_t-1, milk"
ec_t-1,0.002163468916719135,0.004041360397153734,0.01682308819891143,"age, ec, ec_t-2, milk_t-2, fat"
protein_t-1,0.0016751376555538596,0.003705467976072441,0.013025834717069243,"months_since_calving, ec, month_sin, milk_t-1, scs_t-1"
lactose_t-2,0.0011638149265513348,0.0026507219990192033,0.009049800071208744,"age, lactose_t-1, lactose, ec_t-2, protein_t-2"
protein_t-2,0.0011550002329728049,0.003971060094889002,0.008981257201758663,"lactose_t-1, ec, months_since_calving, protein, lactose"
fat_t-1,0.00044591792003838087,0.002079915518531351,0.003467448244949618,"lactose, ec_t-2, scs, protein_t-1, age"
fat_t-2,0.00036630523818541495,0.0035226315849936547,0.0028483817271854547,"fat, ec, age, months_since_calving, scs_t-1"
lactose_t-1,9.099489448374669e-05,0.003295565891455277,0.0007075743606578668,"protein_t-2, lactose_t-2, scs, fat_t-2, ec_t-2"
fat,-0.0005596634913680842,0.0028900667145148403,-0.004351931384008089,"milk_t-1, fat_t-2, milk_t-2, scs, ec_t-1"
