XGB OOF SHAP GLOBAL REPORT

feature                                    mean_abs_shap    std_abs_shap     mean_shap      std_shap      spearman
------------------------------------------------------------------------------------------------------------------
scs                                             0.749901        1.362248      0.263195      1.532617      0.971875
scs_t-1                                         0.411761        1.010671      0.250903      1.062123      0.928132
scs_t-2                                         0.393075        1.006553      0.220608      1.057849      0.952592
months_since_calving                            0.149464        0.106364     -0.002588      0.183433      0.438235
age                                             0.118357        0.080972     -0.004900      0.143324     -0.951896
milk_t-2                                        0.079346        0.089855     -0.005173      0.119765      0.908788
milk                                            0.079024        0.078446      0.010272      0.110877     -0.818993
milk_t-1                                        0.078672        0.057748     -0.005394      0.097445      0.961776
ec_t-2                                          0.075818        0.041589      0.002745      0.086435      0.335509
ec                                              0.065642        0.056691      0.002296      0.086706      0.060460
month_sin                                       0.053475        0.047920     -0.001876      0.071782      0.640798
month_cos                                       0.052078        0.059626      0.002956      0.079113      0.420153
protein_t-1                                     0.040424        0.037031      0.002608      0.054761     -0.871303
ec_t-1                                          0.039090        0.032697     -0.000606      0.050960     -0.119303
lactose                                         0.036065        0.034337     -0.000970      0.049789      0.926026
protein                                         0.027542        0.038077      0.000144      0.046995     -0.432176
lactose_t-1                                     0.026788        0.029371      0.000205      0.039753      0.682240
fat                                             0.024372        0.022793     -0.003012      0.033234     -0.042796
protein_t-2                                     0.024328        0.022522     -0.000055      0.033153     -0.602806
lactose_t-2                                     0.024011        0.035747     -0.002767      0.042975     -0.800125
fat_t-2                                         0.022947        0.034022      0.002497      0.040962      0.585274
fat_t-1                                         0.015669        0.024333      0.000341      0.028941      0.088312
