,scs,milk,fat,protein,lactose,ec,age,months_since_calving,month_sin,month_cos,scs_t-1,scs_t-2,milk_t-1,milk_t-2,fat_t-1,fat_t-2,protein_t-1,protein_t-2,lactose_t-1,lactose_t-2,ec_t-1,ec_t-2
scs,0.8446109648042591,0.003260131790100422,0.0034546699065551366,0.004081919546689278,0.002380252302019653,0.007478261168132303,0.005539948282763362,0.005943112247160752,0.002322330054152553,0.002837425815613824,0.06861479083306622,0.06233771031845099,0.003696286935461103,0.0044900408056477315,0.0023466318257389504,0.0019380910705709539,0.0030312970499442597,0.0021154841177620258,0.0026174877956669663,0.0014943590804385168,0.0025228069442367997,0.003443046546218102
milk,0.003260132654607878,0.09174154229664709,0.0021957017568071022,0.002366144978078955,0.0022421273014697363,0.00462109398426619,0.004340380018309224,0.010665118974505458,0.0018662416161823786,0.0021296595613363024,0.002394474941154476,0.0030134046929677426,0.009559199508735038,0.01683903522324108,0.0019088588414218975,0.0024540352344141867,0.002453685746905103,0.0025974493761124905,0.0021810223126391064,0.0015492072913000812,0.0027599347255760224,0.0064233915555902054
fat,0.0034546684134955283,0.002195701662423744,0.023097169541136827,0.0015724001642556686,0.0017761863271371111,0.0017468359778475132,0.0011639825279082289,0.0026808794521333765,0.0017572766815439535,0.0019730678207677556,0.0029389214705879568,0.001554741852747975,0.004515879468801723,0.0036570023705251517,0.0019622174330190317,0.003946521166768798,0.002245911368860834,0.0022791451420256636,0.0016580335926548286,0.0010182042095555517,0.003105188359733438,0.0018890589422087942
protein,0.004081918732443591,0.002366145075490931,0.0015724002866318188,0.02815156142556225,0.0013095705710475158,0.0015518174171731515,0.0014030825650552287,0.0020587518119151355,0.001019787387359247,0.0008061631315315026,0.001554243427606707,0.0021732841875345913,0.0036924545904199477,0.0015272654550764855,0.0009125213489283851,0.002368134971442487,0.0026094368391801253,0.003065557850980258,0.0012658841413776827,0.0009986019792409934,0.0014183581391400367,0.0017820598922175122
lactose,0.0023802510628913296,0.0022421272394443806,0.001776186321705609,0.0013095705123319932,0.03765893287681975,0.004004724830410851,0.004172822083282518,0.0018135522962504183,0.0008518645104613825,0.001187582034810839,0.0030750706454680766,0.001404323632415617,0.0017253689165940159,0.003335567476599681,0.0029855539239622884,0.0019024321964927367,0.0019529860990478484,0.0029695819125974596,0.0021471522752704916,0.003491088439759915,0.0014859218411547772,0.0033764394113823073
ec,0.007478260691009928,0.004621094239303784,0.0017468360256039886,0.001551817378641863,0.004004724862601143,0.06442120087916846,0.012291672654927243,0.0034514470430702204,0.002046979968388041,0.002173979290579882,0.002933048242852965,0.003289753218535043,0.00540663819979236,0.003334976355262916,0.0019409978557054274,0.003359262128816044,0.00482266437559374,0.003297761532172808,0.0019304377308762923,0.0014990919891111844,0.008018967497491394,0.005778726558957715
age,0.005539947167277569,0.0043403797797334845,0.0011639826901136984,0.0014030826438833173,0.00417282198121029,0.012291672487088363,0.12123904768209905,0.007567395629189559,0.0014891992433069391,0.0019080030251832796,0.005319430289397133,0.007159261472360959,0.004795250607853813,0.005453509532514726,0.0022764216858478905,0.0030656176349984888,0.002057348853192525,0.002153064030826499,0.0006257537872252215,0.005868520220267237,0.007971636990626576,0.012971643363092153
months_since_calving,0.005943115340278018,0.01066511936126335,0.0026808793192918527,0.002058751852120622,0.0018135523037362874,0.0034514469721732893,0.007567395633627893,0.15435792622901498,0.024623030388492045,0.01873194616341352,0.004177398227143567,0.003790072600205167,0.010758781688511954,0.0038083972530206667,0.002148689955705049,0.003039215248083201,0.00523671003516356,0.0032673450681781104,0.0014157226019779045,0.0010815956689129963,0.0021522701287598465,0.0029142249028824155
month_sin,0.0023223316366609652,0.001866241477082076,0.0017572767184392433,0.001019787385838572,0.0008518644947820576,0.002046979970922985,0.0014891991299620713,0.02462303018879611,0.050633974374528046,0.004187941270270676,0.00169834071009318,0.004675510275358102,0.0020209700697894732,0.0027173773678390717,0.0014283580244995391,0.0009642458107216953,0.004515174534701509,0.0015263492113626854,0.0005709345061567547,0.0006954176476058819,0.0011484156776517922,0.0015567108739051037
month_cos,0.002837427606905112,0.0021296596384338044,0.0019730678617983356,0.0008061631570686586,0.0011875820756999018,0.0021739793098691737,0.0019080030125682242,0.018731946397866704,0.004187940999097918,0.047037815773795594,0.001798511095986032,0.001414676462355419,0.0011426316884593688,0.001884274862460734,0.0019713689046642687,0.0014760101631349244,0.0014464005075024034,0.0009139678794857901,0.001957977414870402,0.0014774587401323515,0.0027317742851817456,0.002236073186275462
